period,auc,accuracy,baseline,top_quintile_return,avg_return
2021-07-07 ~ 2022-07-13,0.5710573639047983,0.54232,0.50296,0.027765151775741903,-0.00029245233061954195
2022-07-14 ~ 2023-07-25,0.5493121753678984,0.58136,0.60384,0.04791204911719938,0.03089593140942154
2023-07-26 ~ 2024-08-05,0.5678833442832605,0.56968,0.55888,0.025700551249221895,0.016406627685417206
2024-08-06 ~ 2025-08-15,0.5845418843269634,0.55584,0.54664,0.05115056686950017,0.014189889982847424
2025-08-18 ~ 2026-08-27,0.49493005298488385,0.564,0.64472,0.042027591360748226,0.06067129254253158
