signal_date,code,name,setup,prob
2026-09-24,3231,緯創,pullback,0.2625798827015825
2026-09-24,3653,健策,breakout,0.2144960133316849
2026-09-24,3189,景碩,breakout,0.1700258300629782
2026-09-24,4958,臻鼎-KY,pullback,0.0842998084435044
